"Ft_minus_F0_ppm","F0_ppm","Ft_ppm","FL_ppm","t_days","alpha","mu_day","mu_day_sem","mu_sigma_ratio","mu_year","mu_year_sem","T_G_years","T_G_years_sem"
11.7,95,106.7,3700,14,0.66,0.000356968167388752,6.07891617278882e-05,5.87223375421192,0.130293381096895,0.0221880440306792,5.31989556740781,0.905940701626883
11.8,95,106.8,3700,14,0.66,0.000360026879365614,6.12536011860594e-05,5.87764429183557,0.131409810968449,0.0223575644329117,5.27469886343849,0.897417162648885
11.9,95,106.9,3700,14,0.66,0.000363085722328143,6.17185119879638e-05,5.88293059299535,0.132526288649772,0.0225272568756068,5.23026176634078,0.889057194142035
12,95,107,3700,14,0.66,0.000366144696287557,6.21838845683166e-05,5.88809622990507,0.133642814144958,0.0226971178674356,5.18656528594279,0.880856066787892
12.1,95,107.1,3700,14,0.66,0.000369203801255093,6.26497096359463e-05,5.89314465143596,0.134759387458109,0.0228671440171204,5.14359105984669,0.872809232434735
12.2,95,107.2,3700,14,0.66,0.000372263037241966,6.31159781643585e-05,5.89807918800792,0.135876008593317,0.0230373320299909,5.10132132770078,0.864912315533654
12.3,95,107.3,3700,14,0.66,0.000375322404259406,6.35826813826862e-05,5.90290305626537,0.136992677554683,0.0232076787046805,5.05973890672561,0.857161105052399
12.4,95,107.4,3700,14,0.66,0.000378381902318622,6.40498107669714e-05,5.90761936354919,0.138109394346297,0.0233781809299445,5.0188271684252,0.849551546836623
12.5,95,107.5,3700,14,0.66,0.000381441531430841,6.45173580318216e-05,5.91223111217145,0.139226158972257,0.0235488356816149,4.97857001641528,0.842079736390201
12.6,95,107.6,3700,14,0.66,0.000384501291607306,6.49853151223617e-05,5.91674120350611,0.140342971436667,0.023719640019662,4.93895186530767,0.834741912047965
12.7,95,107.7,3700,14,0.66,0.000387561182859239,6.54536742065111e-05,5.92115244190043,0.141459831743622,0.0238905910853766,4.89995762059286,0.827534448516949
12.8,95,107.8,3700,14,0.66,0.000390621205197878,6.59224276675689e-05,5.92546753841784,0.142576739897225,0.0240616860986626,4.86157265946459,0.82045385076275
12.9,95,107.9,3700,14,0.66,0.000393681358634439,6.63915680970567e-05,5.92968911442072,0.14369369590157,0.0242329223554257,4.82378281253722,0.813496748220074
13,95,108,3700,14,0.66,0.000396741643180156,6.6861088287867e-05,5.933819704998,0.144810699760757,0.0244042972250714,4.78657434640603,0.806659889307783
13.1,95,108.1,3700,14,0.66,0.00039980205884628,6.7330981227652e-05,5.93786176224752,0.145927751478892,0.024575808148093,4.74993394700669,0.799940136229916
13.2,95,108.2,3700,14,0.66,0.000402862605644039,6.78012400924744e-05,5.94181765841707,0.147044851060074,0.0247474526337531,4.71384870373165,0.793334460045926
13.3,95,108.3,3700,14,0.66,0.000405923283584679,6.82718582406853e-05,5.94568968891456,0.148161998508408,0.0249192282578501,4.67830609426216,0.786839935993401
