"label_panel","FL_ppm","alpha_label","alpha","deltaH_permil","deltaH_ppm","generation_time_years","mu_day","detectable_fraction","incubation_time_days","TG_error_years"
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,154.40016007045,1.22994261827878e-05,0.0207444694085038,1704.36070411867,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,158.002675389964,1.20189950373317e-05,0.0207444694085038,1744.12740865942,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,161.68924578184,1.1744957818403e-05,0.0207444694085038,1784.82196303043,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,165.461832446673,1.14771687422787e-05,0.0207444694085038,1826.46601612914,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,169.322442344435,1.12154853491548e-05,0.0207444694085038,1869.08172197217,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,173.27312926215,1.09597684273596e-05,0.0207444694085038,1912.69175148092,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,177.315994906475,1.07098819392957e-05,0.0207444694085038,1957.31930454224,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,181.453190021779,1.04656929490696e-05,0.0207444694085038,2002.98812235031,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,185.686915534304,1.02270715517717e-05,0.0207444694085038,2049.72250003671,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,190.019423723029,9.99389080436918e-06,0.0207444694085038,2097.54729959499,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,194.453019417847,9.76602665817396e-06,0.0207444694085038,2146.48796310692,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,198.990061225698,9.54335789285068e-06,0.0207444694085038,2196.57052627731,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,203.632962785319,9.32576605192932e-06,0.0207444694085038,2247.82163228457,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,208.384194051254,9.11313537978807e-06,0.0207444694085038,2300.26854595451,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,213.246282607845,8.90535276007314e-06,0.0207444694085038,2353.93916826486,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,218.221815013859,8.70230765552245e-06,0.0207444694085038,2408.8620511881,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,223.313438178505,8.50389204916153e-06,0.0207444694085038,2465.06641288075,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,228.523860769546,8.31000038684005e-06,0.0207444694085038,2522.58215322695,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,233.855854654276,8.1205295210786e-06,0.0207444694085038,2581.43986974478,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,239.312256374104,7.93537865619576e-06,0.0207444694085038,2641.67087386367,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,244.895968653559,7.75444929468629e-06,0.0207444694085038,2703.30720758163,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,250.609961944494,7.57764518482196e-06,0.0207444694085038,2766.3816605111,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,256.457276006319,7.40487226944701e-06,0.0207444694085038,2830.92778732255,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,262.441021523112,7.23603863594118e-06,0.0207444694085038,2896.97992559504,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,268.564381758455,7.07105446732354e-06,0.0207444694085038,2964.57321408335,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,274.830614248884,6.90983199447121e-06,0.0207444694085038,3033.7436114112,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,281.243052536845,6.75228544942749e-06,0.0207444694085038,3104.52791520079,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,287.805107944098,6.59833101977457e-06,0.0207444694085038,3176.96378164852,NA
